
Attaching file multidimfit.root as _file0...
(TFile *) 0x2286fe0

  RooFitResult: minimized FCN value: -6.28908, estimated distance to minimum: 3.02039e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
     prop_binY17_bin22   -2.6089e-03 +/-  1.68e-01
     prop_binY17_bin23    1.0452e-01 +/-  1.68e-01
  prop_binY17_bin24_LQint    3.0000e+00 +/-  1.21e+00
  prop_binY17_bin24_LQpure    4.0000e+00 +/-  1.41e+00
  prop_binY17_bin24_alpha    1.0998e+01 +/-  2.44e+00
  prop_binY17_bin24_bk    1.9369e+00 +/-  9.53e-01
  prop_binY17_bin24_dy_gg    9.8770e-01 +/-  6.73e-01
  prop_binY17_bin24_fmn    1.3127e+01 +/-  2.68e+00
  prop_binY17_bin24_fpl    1.2796e+01 +/-  2.63e+00
  prop_binY17_bin24_gam    4.9214e+00 +/-  1.58e+00
     prop_binY17_bin25   -3.8010e-02 +/-  1.68e-01
     prop_binY17_bin26    8.4907e-02 +/-  1.68e-01
     prop_binY17_bin27   -1.1355e-02 +/-  1.68e-01
     prop_binY17_bin28    1.6121e-02 +/-  1.68e-01
     prop_binY17_bin29   -5.2942e-02 +/-  1.68e-01
      prop_binY17_bin3    3.6469e-02 +/-  1.68e-01
     prop_binY17_bin30    3.1931e-03 +/-  1.68e-01
  prop_binY17_bin31_LQint    3.0000e+00 +/-  1.21e+00
  prop_binY17_bin31_LQpure    4.0000e+00 +/-  1.41e+00
  prop_binY17_bin31_alpha    1.1001e+01 +/-  2.44e+00
  prop_binY17_bin31_bk    2.0230e+00 +/-  9.83e-01
  prop_binY17_bin31_dy_gg    1.0044e+00 +/-  6.81e-01
  prop_binY17_bin31_fmn    1.2979e+01 +/-  2.66e+00
  prop_binY17_bin31_fpl    1.3155e+01 +/-  2.66e+00
  prop_binY17_bin31_gam    5.0280e+00 +/-  1.60e+00
  prop_binY17_bin32_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY17_bin32_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY17_bin32_alpha   -7.4349e-05 +/-  1.68e-01
  prop_binY17_bin32_bk    6.6122e+00 +/-  1.60e+00
  prop_binY17_bin32_dy_gg    1.5993e+01 +/-  2.98e+00
  prop_binY17_bin32_fmn    4.1193e-03 +/-  1.68e-01
  prop_binY17_bin32_fpl   -1.1574e-02 +/-  1.68e-01
  prop_binY17_bin32_gam   -1.0445e-02 +/-  1.68e-01
     prop_binY17_bin33    1.9337e-02 +/-  1.68e-01
     prop_binY17_bin34    2.5119e-02 +/-  1.68e-01
     prop_binY17_bin35   -1.1317e-01 +/-  1.68e-01
     prop_binY17_bin36    8.7432e-02 +/-  1.68e-01
     prop_binY17_bin37   -1.8228e-02 +/-  1.68e-01
     prop_binY17_bin38   -1.9883e-02 +/-  1.68e-01
     prop_binY17_bin39    1.6244e-01 +/-  1.67e-01
      prop_binY17_bin4    7.0692e-03 +/-  1.68e-01
  prop_binY17_bin40_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY17_bin40_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY17_bin40_alpha   -3.8156e-04 +/-  1.68e-01
  prop_binY17_bin40_bk    3.3343e+00 +/-  1.17e+00
  prop_binY17_bin40_dy_gg    3.3971e+01 +/-  4.40e+00
  prop_binY17_bin40_fmn    2.1645e-02 +/-  1.68e-01
  prop_binY17_bin40_fpl   -4.2158e-02 +/-  1.68e-01
  prop_binY17_bin40_gam    3.8789e+01 +/-  4.70e+00
     prop_binY17_bin41    5.0160e-02 +/-  1.68e-01
     prop_binY17_bin42    1.8606e-02 +/-  1.68e-01
     prop_binY17_bin43   -4.4832e-03 +/-  1.68e-01
     prop_binY17_bin44    4.7342e-03 +/-  1.68e-01
     prop_binY17_bin45   -1.0063e-02 +/-  1.68e-01
     prop_binY17_bin46   -1.9674e-02 +/-  1.68e-01
     prop_binY17_bin47    2.2717e-01 +/-  1.68e-01
  prop_binY17_bin48_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY17_bin48_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY17_bin48_alpha    2.8699e-05 +/-  1.68e-01
  prop_binY17_bin48_bk    5.0636e+00 +/-  1.49e+00
  prop_binY17_bin48_dy_gg    1.9002e+01 +/-  3.26e+00
  prop_binY17_bin48_fmn   -1.5024e-03 +/-  1.68e-01
  prop_binY17_bin48_fpl    2.4562e-03 +/-  1.68e-01
  prop_binY17_bin48_gam    2.6014e+01 +/-  3.83e+00
     prop_binY17_bin49    1.9041e-02 +/-  1.68e-01
      prop_binY17_bin5   -5.3509e-02 +/-  1.68e-01
     prop_binY17_bin50    1.6586e-03 +/-  1.68e-01
     prop_binY17_bin51    1.7045e-03 +/-  1.68e-01
     prop_binY17_bin52   -4.5224e-04 +/-  1.68e-01
     prop_binY17_bin53   -5.6215e-04 +/-  1.68e-01
     prop_binY17_bin54   -4.5684e-03 +/-  1.68e-01
     prop_binY17_bin55   -9.3471e-03 +/-  1.68e-01
