
Attaching file multidimfit.root as _file0...
(TFile *) 0x266fc90

  RooFitResult: minimized FCN value: -6.27488, estimated distance to minimum: 0.000546827
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  prop_binY16_bin72_dy_gg    9.9937e-01 +/-  9.68e-01
  prop_binY16_bin72_fmn    1.2651e-02 +/-  6.62e-01
  prop_binY16_bin72_fpl   -2.2645e-02 +/-  6.62e-01
  prop_binY16_bin72_gam    2.3895e+01 +/-  4.76e+00
     prop_binY16_bin73    2.9898e-03 +/-  6.59e-01
     prop_binY16_bin74    6.7675e-03 +/-  6.61e-01
     prop_binY16_bin75   -2.7471e-03 +/-  6.61e-01
     prop_binY16_bin76    3.9253e-04 +/-  6.61e-01
     prop_binY16_bin77   -6.8306e-03 +/-  6.61e-01
     prop_binY16_bin78    3.9408e-03 +/-  6.60e-01
     prop_binY16_bin79    5.3320e-02 +/-  6.55e-01
      prop_binY16_bin8    3.1528e-03 +/-  6.30e-01
  prop_binY16_bin80_LQint    3.8000e+01 +/-  6.03e+00
  prop_binY16_bin80_LQpure    0.0000e+00 +/-  6.62e-01
  prop_binY16_bin80_alpha    8.5431e-05 +/-  6.62e-01
  prop_binY16_bin80_dy_gg    2.0014e+00 +/-  1.37e+00
  prop_binY16_bin80_fmn   -4.6911e-03 +/-  6.61e-01
  prop_binY16_bin80_fpl    6.6373e-03 +/-  6.61e-01
  prop_binY16_bin80_gam    3.0030e+00 +/-  1.68e+00
     prop_binY16_bin81    4.4775e-03 +/-  6.60e-01
     prop_binY16_bin82    2.0579e-02 +/-  6.60e-01
     prop_binY16_bin83    3.0189e-04 +/-  6.61e-01
     prop_binY16_bin84   -4.0969e-04 +/-  6.61e-01
     prop_binY16_bin85   -1.4511e-02 +/-  6.61e-01
     prop_binY16_bin86    1.9626e-03 +/-  6.61e-01
     prop_binY16_bin87   -2.7951e-03 +/-  6.61e-01
  prop_binY16_bin88_LQint    4.0000e+00 +/-  1.95e+00
  prop_binY16_bin88_LQpure    4.0000e+00 +/-  1.95e+00
  prop_binY16_bin88_alpha    3.9999e+00 +/-  1.95e+00
  prop_binY16_bin88_dy_gg   -1.3311e-03 +/-  6.62e-01
  prop_binY16_bin88_fmn    3.0050e+00 +/-  1.69e+00
  prop_binY16_bin88_fpl    2.9939e+00 +/-  1.68e+00
  prop_binY16_bin89_LQint    3.9000e+01 +/-  6.11e+00
  prop_binY16_bin89_LQpure    0.0000e+00 +/-  6.62e-01
  prop_binY16_bin89_alpha    2.5889e-04 +/-  6.62e-01
  prop_binY16_bin89_dy_gg    2.0002e+00 +/-  1.37e+00
  prop_binY16_bin89_fmn   -6.2974e-03 +/-  6.61e-01
  prop_binY16_bin89_fpl    9.3329e-03 +/-  6.60e-01
      prop_binY16_bin9    2.5749e-01 +/-  6.21e-01
  prop_binY16_bin90_LQint    0.0000e+00 +/-  6.62e-01
  prop_binY16_bin90_LQpure    0.0000e+00 +/-  6.62e-01
  prop_binY16_bin90_alpha    4.5718e-05 +/-  6.62e-01
  prop_binY16_bin90_dy_gg    3.0002e+00 +/-  1.68e+00
  prop_binY16_bin90_fmn   -6.6106e-04 +/-  6.62e-01
  prop_binY16_bin90_fpl    1.1960e-03 +/-  6.61e-01
  prop_binY16_bin90_gam    2.0005e+00 +/-  1.37e+00
  prop_binY16_bin91_LQint    0.0000e+00 +/-  6.62e-01
  prop_binY16_bin91_LQpure    0.0000e+00 +/-  6.62e-01
  prop_binY16_bin91_alpha   -1.7794e-04 +/-  6.62e-01
  prop_binY16_bin91_dy_gg   -6.1379e-05 +/-  6.62e-01
  prop_binY16_bin91_fmn    1.7536e-03 +/-  6.62e-01
  prop_binY16_bin91_fpl   -4.7310e-03 +/-  6.61e-01
  prop_binY16_bin91_gam    1.9983e+00 +/-  1.37e+00
     prop_binY16_bin92    3.9072e-03 +/-  6.60e-01
     prop_binY16_bin93   -1.2530e-03 +/-  6.61e-01
     prop_binY16_bin94   -7.7620e-04 +/-  6.61e-01
  prop_binY16_bin95_LQint    4.0000e+00 +/-  1.95e+00
  prop_binY16_bin95_LQpure    4.0000e+00 +/-  1.95e+00
  prop_binY16_bin95_alpha    4.0000e+00 +/-  1.95e+00
  prop_binY16_bin95_dy_gg   -1.7363e-04 +/-  6.62e-01
  prop_binY16_bin95_fmn    3.0002e+00 +/-  1.68e+00
  prop_binY16_bin95_fpl    2.9977e+00 +/-  1.68e+00
      prop_binY17_bin0    3.0073e-01 +/-  5.84e-01
      prop_binY17_bin1   -2.0335e-01 +/-  6.30e-01
     prop_binY17_bin10    1.1026e-01 +/-  6.40e-01
     prop_binY17_bin11   -7.0544e-02 +/-  6.47e-01
     prop_binY17_bin12    8.3711e-02 +/-  6.48e-01
     prop_binY17_bin13   -9.6828e-02 +/-  6.46e-01
     prop_binY17_bin14   -1.5915e-02 +/-  6.52e-01
     prop_binY17_bin15    2.2345e-01 +/-  6.16e-01
  prop_binY17_bin16_LQint    0.0000e+00 +/-  6.62e-01
  prop_binY17_bin16_LQpure    0.0000e+00 +/-  6.62e-01
  prop_binY17_bin16_alpha   -5.2418e-04 +/-  6.62e-01
  prop_binY17_bin16_bk    3.6785e+00 +/-  1.63e+00
  prop_binY17_bin16_dy_gg    7.9747e+00 +/-  2.75e+00
  prop_binY17_bin16_fmn    2.7487e-02 +/-  6.61e-01
  prop_binY17_bin16_fpl   -5.0755e-02 +/-  6.60e-01
  prop_binY17_bin16_gam    4.9893e+01 +/-  6.90e+00
     prop_binY17_bin17    2.8623e-03 +/-  6.36e-01
     prop_binY17_bin18    3.2226e-01 +/-  6.33e-01
     prop_binY17_bin19   -9.6840e-02 +/-  6.52e-01
      prop_binY17_bin2    5.8788e-02 +/-  6.45e-01
     prop_binY17_bin20   -3.7676e-03 +/-  6.53e-01
     prop_binY17_bin21   -2.0076e-01 +/-  6.47e-01
     prop_binY17_bin22   -4.6520e-03 +/-  6.49e-01
     prop_binY17_bin23    1.0219e-01 +/-  6.41e-01
  prop_binY17_bin24_LQint    3.0000e+00 +/-  1.68e+00
  prop_binY17_bin24_LQpure    4.0000e+00 +/-  1.95e+00
  prop_binY17_bin24_alpha    1.0998e+01 +/-  3.24e+00
  prop_binY17_bin24_bk    1.9371e+00 +/-  1.33e+00
  prop_binY17_bin24_dy_gg    9.8724e-01 +/-  9.57e-01
  prop_binY17_bin24_fmn    1.3127e+01 +/-  3.55e+00
  prop_binY17_bin24_fpl    1.2795e+01 +/-  3.46e+00
  prop_binY17_bin24_gam    4.9222e+00 +/-  2.14e+00
     prop_binY17_bin25   -3.7579e-02 +/-  6.55e-01
     prop_binY17_bin26    8.6240e-02 +/-  6.49e-01
     prop_binY17_bin27   -1.1175e-02 +/-  6.56e-01
     prop_binY17_bin28    1.6520e-02 +/-  6.56e-01
     prop_binY17_bin29   -5.3218e-02 +/-  6.55e-01
      prop_binY17_bin3    3.3713e-02 +/-  6.49e-01
     prop_binY17_bin30    3.7405e-03 +/-  6.57e-01
  prop_binY17_bin31_LQint    3.0000e+00 +/-  1.68e+00
  prop_binY17_bin31_LQpure    4.0000e+00 +/-  1.95e+00
  prop_binY17_bin31_alpha    1.1001e+01 +/-  3.24e+00
  prop_binY17_bin31_bk    2.0228e+00 +/-  1.38e+00
  prop_binY17_bin31_dy_gg    1.0045e+00 +/-  9.73e-01
  prop_binY17_bin31_fmn    1.2979e+01 +/-  3.51e+00
  prop_binY17_bin31_fpl    1.3154e+01 +/-  3.48e+00
  prop_binY17_bin31_gam    5.0275e+00 +/-  2.18e+00
  prop_binY17_bin32_LQint    0.0000e+00 +/-  6.62e-01
  prop_binY17_bin32_LQpure    0.0000e+00 +/-  6.62e-01
  prop_binY17_bin32_alpha   -7.1713e-05 +/-  6.62e-01
  prop_binY17_bin32_bk    6.6119e+00 +/-  1.96e+00
  prop_binY17_bin32_dy_gg    1.5993e+01 +/-  3.91e+00
  prop_binY17_bin32_fmn    4.1103e-03 +/-  6.62e-01
  prop_binY17_bin32_fpl   -1.1565e-02 +/-  6.62e-01
  prop_binY17_bin32_gam   -1.0327e-02 +/-  6.62e-01
     prop_binY17_bin33    1.8727e-02 +/-  6.60e-01
     prop_binY17_bin34    2.2595e-02 +/-  6.47e-01
     prop_binY17_bin35   -1.1278e-01 +/-  6.55e-01
     prop_binY17_bin36    8.6877e-02 +/-  6.54e-01
     prop_binY17_bin37   -2.0033e-02 +/-  6.50e-01
     prop_binY17_bin38   -2.0571e-02 +/-  6.60e-01
     prop_binY17_bin39    1.6184e-01 +/-  5.94e-01
      prop_binY17_bin4    3.7476e-03 +/-  6.49e-01
  prop_binY17_bin40_LQint    0.0000e+00 +/-  6.62e-01
  prop_binY17_bin40_LQpure    0.0000e+00 +/-  6.62e-01
  prop_binY17_bin40_alpha   -3.6996e-04 +/-  6.62e-01
  prop_binY17_bin40_bk    3.3345e+00 +/-  1.49e+00
  prop_binY17_bin40_dy_gg    3.3971e+01 +/-  5.70e+00
  prop_binY17_bin40_fmn    2.1710e-02 +/-  6.62e-01
  prop_binY17_bin40_fpl   -4.2351e-02 +/-  6.62e-01
  prop_binY17_bin40_gam    3.8790e+01 +/-  6.07e+00
     prop_binY17_bin41    4.9870e-02 +/-  6.45e-01
     prop_binY17_bin42    1.8155e-02 +/-  6.60e-01
     prop_binY17_bin43   -4.5032e-03 +/-  6.61e-01
     prop_binY17_bin44    4.5879e-03 +/-  6.61e-01
     prop_binY17_bin45   -1.0719e-02 +/-  6.61e-01
     prop_binY17_bin46   -1.9919e-02 +/-  6.54e-01
     prop_binY17_bin47    2.2329e-01 +/-  6.37e-01
  prop_binY17_bin48_LQint    0.0000e+00 +/-  6.62e-01
  prop_binY17_bin48_LQpure    0.0000e+00 +/-  6.62e-01
  prop_binY17_bin48_alpha    2.9195e-05 +/-  6.62e-01
  prop_binY17_bin48_bk    5.0665e+00 +/-  1.93e+00
  prop_binY17_bin48_dy_gg    1.9002e+01 +/-  4.26e+00
  prop_binY17_bin48_fmn   -1.5778e-03 +/-  6.62e-01
  prop_binY17_bin48_fpl    2.5851e-03 +/-  6.62e-01
  prop_binY17_bin48_gam    2.6015e+01 +/-  4.98e+00
     prop_binY17_bin49    1.8893e-02 +/-  6.60e-01
      prop_binY17_bin5   -5.4273e-02 +/-  6.48e-01
     prop_binY17_bin50    1.7212e-03 +/-  6.60e-01
     prop_binY17_bin51    1.6843e-03 +/-  6.61e-01
     prop_binY17_bin52   -5.7849e-04 +/-  6.61e-01
     prop_binY17_bin53   -8.2008e-04 +/-  6.61e-01
     prop_binY17_bin54   -4.8599e-03 +/-  6.61e-01
     prop_binY17_bin55   -8.9496e-03 +/-  6.41e-01
  prop_binY17_bin56_LQint    2.0000e+00 +/-  1.37e+00
  prop_binY17_bin56_LQpure    3.0000e+00 +/-  1.68e+00
  prop_binY17_bin56_alpha    2.5000e+01 +/-  4.89e+00
  prop_binY17_bin56_dy_gg    1.9976e+00 +/-  1.37e+00
  prop_binY17_bin56_fmn    2.8015e+01 +/-  5.17e+00
  prop_binY17_bin56_fpl    2.7978e+01 +/-  5.16e+00
  prop_binY17_bin56_gam    1.9995e+00 +/-  1.37e+00
     prop_binY17_bin57    6.2637e-03 +/-  6.61e-01
     prop_binY17_bin58   -1.3270e-02 +/-  6.61e-01
     prop_binY17_bin59    9.8881e-03 +/-  6.61e-01
      prop_binY17_bin6    1.6805e-01 +/-  6.33e-01
     prop_binY17_bin60   -1.0741e-02 +/-  6.61e-01
     prop_binY17_bin61    6.4527e-03 +/-  6.61e-01
     prop_binY17_bin62   -1.8454e-03 +/-  6.61e-01
  prop_binY17_bin63_LQint    2.0000e+00 +/-  1.37e+00
  prop_binY17_bin63_LQpure    3.0000e+00 +/-  1.68e+00
  prop_binY17_bin63_alpha    2.5000e+01 +/-  4.89e+00
  prop_binY17_bin63_dy_gg    2.0003e+00 +/-  1.37e+00
  prop_binY17_bin63_fmn    2.7999e+01 +/-  5.17e+00
  prop_binY17_bin63_fpl    2.8007e+01 +/-  5.16e+00
  prop_binY17_bin63_gam    2.0001e+00 +/-  1.37e+00
     prop_binY17_bin64   -1.3090e-01 +/-  6.46e-01
     prop_binY17_bin65    9.0085e-03 +/-  6.61e-01
     prop_binY17_bin66   -5.3273e-03 +/-  6.61e-01
     prop_binY17_bin67   -1.2823e-03 +/-  6.62e-01
     prop_binY17_bin68   -5.3552e-05 +/-  6.62e-01
     prop_binY17_bin69    6.6171e-03 +/-  6.61e-01
      prop_binY17_bin7   -2.4922e-01 +/-  5.95e-01
     prop_binY17_bin70   -2.9948e-03 +/-  6.62e-01
     prop_binY17_bin71    1.0362e-01 +/-  6.48e-01
     prop_binY17_bin72    2.1578e-02 +/-  6.61e-01
     prop_binY17_bin73    6.0227e-03 +/-  6.61e-01
     prop_binY17_bin74    1.0327e-02 +/-  6.61e-01
     prop_binY17_bin75    1.7724e-03 +/-  6.61e-01
     prop_binY17_bin76   -1.6490e-03 +/-  6.62e-01
     prop_binY17_bin77   -4.7495e-03 +/-  6.62e-01
     prop_binY17_bin78   -1.7107e-04 +/-  6.62e-01
     prop_binY17_bin79   -6.7101e-03 +/-  6.62e-01
      prop_binY17_bin8   -2.7886e-01 +/-  5.98e-01
  prop_binY17_bin80_LQint    0.0000e+00 +/-  6.62e-01
