
Attaching file multidimfit.root as _file0...
(TFile *) 0x268f8b0

  RooFitResult: minimized FCN value: -6.28886, estimated distance to minimum: 2.7522e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
     prop_binY16_bin69   -2.3787e-03 +/-  1.61e-01
      prop_binY16_bin7    3.0480e-01 +/-  1.60e-01
     prop_binY16_bin70    8.5424e-03 +/-  1.61e-01
     prop_binY16_bin71   -2.3746e-03 +/-  1.61e-01
  prop_binY16_bin72_LQint    0.0000e+00 +/-  1.61e-01
  prop_binY16_bin72_LQpure    0.0000e+00 +/-  1.61e-01
  prop_binY16_bin72_alpha   -2.2295e-04 +/-  1.61e-01
  prop_binY16_bin72_bk    2.8412e+00 +/-  1.12e+00
  prop_binY16_bin72_dy_gg    9.9920e-01 +/-  6.62e-01
  prop_binY16_bin72_fmn    1.2673e-02 +/-  1.61e-01
  prop_binY16_bin72_fpl   -2.2656e-02 +/-  1.61e-01
  prop_binY16_bin72_gam    2.3894e+01 +/-  3.59e+00
     prop_binY16_bin73    3.4497e-03 +/-  1.61e-01
     prop_binY16_bin74    7.6841e-03 +/-  1.61e-01
     prop_binY16_bin75   -2.6939e-03 +/-  1.61e-01
     prop_binY16_bin76    4.3974e-04 +/-  1.61e-01
     prop_binY16_bin77   -6.0583e-03 +/-  1.61e-01
     prop_binY16_bin78    4.4835e-03 +/-  1.61e-01
     prop_binY16_bin79    5.4147e-02 +/-  1.61e-01
      prop_binY16_bin8    7.5555e-03 +/-  1.60e-01
  prop_binY16_bin80_LQint    3.8000e+01 +/-  4.57e+00
  prop_binY16_bin80_LQpure    0.0000e+00 +/-  1.61e-01
  prop_binY16_bin80_alpha    8.9641e-05 +/-  1.61e-01
  prop_binY16_bin80_dy_gg    2.0014e+00 +/-  9.53e-01
  prop_binY16_bin80_fmn   -4.8158e-03 +/-  1.61e-01
  prop_binY16_bin80_fpl    6.8030e-03 +/-  1.61e-01
  prop_binY16_bin80_gam    3.0031e+00 +/-  1.18e+00
     prop_binY16_bin81    4.6678e-03 +/-  1.61e-01
     prop_binY16_bin82    2.1133e-02 +/-  1.61e-01
     prop_binY16_bin83    4.9133e-04 +/-  1.61e-01
     prop_binY16_bin84   -1.1204e-04 +/-  1.61e-01
     prop_binY16_bin85   -1.4048e-02 +/-  1.61e-01
     prop_binY16_bin86    2.4741e-03 +/-  1.61e-01
     prop_binY16_bin87   -2.5702e-03 +/-  1.61e-01
  prop_binY16_bin88_LQint    4.0000e+00 +/-  1.38e+00
  prop_binY16_bin88_LQpure    4.0000e+00 +/-  1.38e+00
  prop_binY16_bin88_alpha    3.9999e+00 +/-  1.38e+00
  prop_binY16_bin88_dy_gg   -1.3175e-03 +/-  1.61e-01
  prop_binY16_bin88_fmn    3.0050e+00 +/-  1.18e+00
  prop_binY16_bin88_fpl    2.9940e+00 +/-  1.18e+00
  prop_binY16_bin89_LQint    3.9000e+01 +/-  4.63e+00
  prop_binY16_bin89_LQpure    0.0000e+00 +/-  1.61e-01
  prop_binY16_bin89_alpha    2.6181e-04 +/-  1.61e-01
  prop_binY16_bin89_dy_gg    2.0002e+00 +/-  9.53e-01
  prop_binY16_bin89_fmn   -6.2294e-03 +/-  1.61e-01
  prop_binY16_bin89_fpl    9.2188e-03 +/-  1.61e-01
      prop_binY16_bin9    2.5691e-01 +/-  1.60e-01
  prop_binY16_bin90_LQint    0.0000e+00 +/-  1.61e-01
  prop_binY16_bin90_LQpure    0.0000e+00 +/-  1.61e-01
  prop_binY16_bin90_alpha    3.4655e-05 +/-  1.61e-01
  prop_binY16_bin90_dy_gg    3.0001e+00 +/-  1.18e+00
  prop_binY16_bin90_fmn   -4.9046e-04 +/-  1.61e-01
  prop_binY16_bin90_fpl    8.8620e-04 +/-  1.61e-01
  prop_binY16_bin90_gam    2.0004e+00 +/-  9.52e-01
  prop_binY16_bin91_LQint    0.0000e+00 +/-  1.61e-01
  prop_binY16_bin91_LQpure    0.0000e+00 +/-  1.61e-01
  prop_binY16_bin91_alpha   -1.8358e-04 +/-  1.61e-01
  prop_binY16_bin91_dy_gg   -6.1207e-05 +/-  1.61e-01
  prop_binY16_bin91_fmn    1.7682e-03 +/-  1.61e-01
  prop_binY16_bin91_fpl   -4.7641e-03 +/-  1.61e-01
  prop_binY16_bin91_gam    1.9982e+00 +/-  9.52e-01
     prop_binY16_bin92    4.1263e-03 +/-  1.61e-01
     prop_binY16_bin93   -1.9074e-03 +/-  1.61e-01
     prop_binY16_bin94   -9.0597e-04 +/-  1.61e-01
  prop_binY16_bin95_LQint    4.0000e+00 +/-  1.38e+00
  prop_binY16_bin95_LQpure    4.0000e+00 +/-  1.38e+00
  prop_binY16_bin95_alpha    4.0000e+00 +/-  1.38e+00
  prop_binY16_bin95_dy_gg   -1.5758e-04 +/-  1.61e-01
  prop_binY16_bin95_fmn    3.0002e+00 +/-  1.18e+00
  prop_binY16_bin95_fpl    2.9979e+00 +/-  1.18e+00
