
Attaching file multidimfit.root as _file0...
(TFile *) 0x384fe20

  RooFitResult: minimized FCN value: -6.24133, estimated distance to minimum: 0.00211633
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
     prop_binY16_bin78    3.8683e-03 +/-  9.88e-01
     prop_binY16_bin79    5.3113e-02 +/-  9.72e-01
      prop_binY16_bin8    2.1926e-03 +/-  8.95e-01
  prop_binY16_bin80_LQint    3.8000e+01 +/-  6.11e+00
  prop_binY16_bin80_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin80_alpha    7.5759e-05 +/-  9.94e-01
  prop_binY16_bin80_dy_gg    2.0013e+00 +/-  1.40e+00
  prop_binY16_bin80_fmn   -4.5474e-03 +/-  9.92e-01
  prop_binY16_bin80_fpl    6.4579e-03 +/-  9.90e-01
  prop_binY16_bin80_gam    3.0029e+00 +/-  1.72e+00
     prop_binY16_bin81    4.4511e-03 +/-  9.87e-01
     prop_binY16_bin82    2.0825e-02 +/-  9.87e-01
     prop_binY16_bin83    5.9253e-04 +/-  9.90e-01
     prop_binY16_bin84   -1.8231e-04 +/-  9.90e-01
     prop_binY16_bin85   -1.4540e-02 +/-  9.89e-01
     prop_binY16_bin86    1.8065e-03 +/-  9.89e-01
     prop_binY16_bin87   -2.9535e-03 +/-  9.90e-01
  prop_binY16_bin88_LQint    4.0000e+00 +/-  1.98e+00
  prop_binY16_bin88_LQpure    4.0000e+00 +/-  1.98e+00
  prop_binY16_bin88_alpha    3.9999e+00 +/-  1.98e+00
  prop_binY16_bin88_dy_gg   -1.3337e-03 +/-  9.94e-01
  prop_binY16_bin88_fmn    3.0050e+00 +/-  1.72e+00
  prop_binY16_bin88_fpl    2.9939e+00 +/-  1.71e+00
  prop_binY16_bin89_LQint    3.9000e+01 +/-  6.19e+00
  prop_binY16_bin89_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin89_alpha    2.3619e-04 +/-  9.94e-01
  prop_binY16_bin89_dy_gg    2.0002e+00 +/-  1.40e+00
  prop_binY16_bin89_fmn   -6.2872e-03 +/-  9.92e-01
  prop_binY16_bin89_fpl    9.3512e-03 +/-  9.89e-01
