
Attaching file multidimfit.root as _file0...
(TFile *) 0x32a3ce0

  RooFitResult: minimized FCN value: -6.27272, estimated distance to minimum: 0.00143585
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
     prop_binY16_bin57    1.5680e-02 +/-  9.82e-01
     prop_binY16_bin58   -7.9124e-03 +/-  9.82e-01
     prop_binY16_bin59   -2.3508e-03 +/-  9.85e-01
      prop_binY16_bin6   -5.4748e-02 +/-  9.21e-01
     prop_binY16_bin60   -6.2352e-03 +/-  9.85e-01
     prop_binY16_bin61   -2.7877e-03 +/-  9.83e-01
     prop_binY16_bin62   -3.4350e-03 +/-  9.87e-01
  prop_binY16_bin63_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin63_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin63_alpha    2.9995e+00 +/-  1.71e+00
  prop_binY16_bin63_dy_gg   -1.5134e-02 +/-  9.94e-01
  prop_binY16_bin63_fmn    1.6897e-02 +/-  9.94e-01
  prop_binY16_bin63_fpl   -4.9084e-02 +/-  9.94e-01
     prop_binY16_bin64    2.1539e-02 +/-  9.66e-01
     prop_binY16_bin65   -4.9325e-03 +/-  9.88e-01
     prop_binY16_bin66   -5.2391e-03 +/-  9.88e-01
     prop_binY16_bin67    1.0332e-02 +/-  9.87e-01
     prop_binY16_bin68   -1.0564e-02 +/-  9.88e-01
     prop_binY16_bin69   -2.8978e-03 +/-  9.89e-01
      prop_binY16_bin7    3.0450e-01 +/-  8.99e-01
     prop_binY16_bin70    8.3431e-03 +/-  9.89e-01
     prop_binY16_bin71   -3.9234e-03 +/-  9.75e-01
  prop_binY16_bin72_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin72_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin72_alpha   -2.1114e-04 +/-  9.94e-01
  prop_binY16_bin72_bk    2.8424e+00 +/-  1.58e+00
