
Attaching file multidimfit.root as _file0...
(TFile *) 0x3f605a0

  RooFitResult: minimized FCN value: -6.22881, estimated distance to minimum: 6.41269e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  prop_binY17_bin48_dy_gg    1.9002e+01 +/-  4.32e+00
  prop_binY17_bin48_fmn   -1.6383e-03 +/-  9.94e-01
  prop_binY17_bin48_fpl    2.6943e-03 +/-  9.94e-01
  prop_binY17_bin48_gam    2.6015e+01 +/-  5.05e+00
     prop_binY17_bin49    1.9160e-02 +/-  9.85e-01
      prop_binY17_bin5   -5.6054e-02 +/-  9.46e-01
     prop_binY17_bin50    2.3428e-03 +/-  9.89e-01
     prop_binY17_bin51    1.6807e-03 +/-  9.90e-01
     prop_binY17_bin52   -7.7021e-04 +/-  9.90e-01
     prop_binY17_bin53   -5.7955e-04 +/-  9.90e-01
     prop_binY17_bin54   -4.2420e-03 +/-  9.89e-01
     prop_binY17_bin55   -6.2968e-03 +/-  9.26e-01
  prop_binY17_bin56_LQint    2.0000e+00 +/-  1.40e+00
  prop_binY17_bin56_LQpure    3.0000e+00 +/-  1.71e+00
  prop_binY17_bin56_alpha    2.5000e+01 +/-  4.95e+00
  prop_binY17_bin56_dy_gg    1.9976e+00 +/-  1.40e+00
  prop_binY17_bin56_fmn    2.8015e+01 +/-  5.24e+00
  prop_binY17_bin56_fpl    2.7978e+01 +/-  5.23e+00
  prop_binY17_bin56_gam    1.9995e+00 +/-  1.40e+00
     prop_binY17_bin57    6.5258e-03 +/-  9.90e-01
     prop_binY17_bin58   -1.2610e-02 +/-  9.89e-01
     prop_binY17_bin59    1.1065e-02 +/-  9.90e-01
      prop_binY17_bin6    1.6340e-01 +/-  9.00e-01
     prop_binY17_bin60   -9.7166e-03 +/-  9.90e-01
     prop_binY17_bin61    7.0684e-03 +/-  9.90e-01
     prop_binY17_bin62   -1.3582e-03 +/-  9.91e-01
  prop_binY17_bin63_LQint    2.0000e+00 +/-  1.40e+00
  prop_binY17_bin63_LQpure    3.0000e+00 +/-  1.71e+00
  prop_binY17_bin63_alpha    2.5000e+01 +/-  4.95e+00
  prop_binY17_bin63_dy_gg    2.0004e+00 +/-  1.40e+00
  prop_binY17_bin63_fmn    2.7999e+01 +/-  5.24e+00
  prop_binY17_bin63_fpl    2.8008e+01 +/-  5.23e+00
  prop_binY17_bin63_gam    2.0001e+00 +/-  1.40e+00
     prop_binY17_bin64   -1.3116e-01 +/-  9.41e-01
     prop_binY17_bin65    8.4236e-03 +/-  9.92e-01
     prop_binY17_bin66   -5.4946e-03 +/-  9.92e-01
     prop_binY17_bin67   -1.3720e-03 +/-  9.92e-01
     prop_binY17_bin68   -1.8968e-04 +/-  9.92e-01
     prop_binY17_bin69    6.2571e-03 +/-  9.92e-01
      prop_binY17_bin7   -2.4676e-01 +/-  8.03e-01
     prop_binY17_bin70   -3.6164e-03 +/-  9.92e-01
     prop_binY17_bin71    1.0371e-01 +/-  9.49e-01
     prop_binY17_bin72    2.1199e-02 +/-  9.90e-01
     prop_binY17_bin73    5.8969e-03 +/-  9.91e-01
     prop_binY17_bin74    1.0110e-02 +/-  9.92e-01
     prop_binY17_bin75    1.6014e-03 +/-  9.92e-01
     prop_binY17_bin76   -1.9484e-03 +/-  9.92e-01
     prop_binY17_bin77   -5.1798e-03 +/-  9.93e-01
     prop_binY17_bin78   -3.0292e-04 +/-  9.92e-01
     prop_binY17_bin79   -6.6320e-03 +/-  9.92e-01
      prop_binY17_bin8   -2.7928e-01 +/-  8.07e-01
  prop_binY17_bin80_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin80_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin80_alpha    2.5986e-05 +/-  9.94e-01
  prop_binY17_bin80_bk    2.0087e+00 +/-  1.40e+00
  prop_binY17_bin80_dy_gg    1.0001e+01 +/-  3.13e+00
  prop_binY17_bin80_fmn   -1.5925e-03 +/-  9.94e-01
  prop_binY17_bin80_fpl    2.2329e-03 +/-  9.94e-01
  prop_binY17_bin80_gam    5.0091e+00 +/-  2.21e+00
     prop_binY17_bin81    4.7698e-03 +/-  9.87e-01
     prop_binY17_bin82   -2.3082e-04 +/-  9.92e-01
     prop_binY17_bin83   -1.1415e-03 +/-  9.92e-01
     prop_binY17_bin84   -2.3734e-04 +/-  9.92e-01
     prop_binY17_bin85    1.0037e-03 +/-  9.92e-01
     prop_binY17_bin86    7.3887e-04 +/-  9.92e-01
     prop_binY17_bin87   -2.0675e-03 +/-  9.91e-01
  prop_binY17_bin88_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin88_LQpure    0.0000e+00 +/-  9.94e-01
