
Processing Fitting/LQ_draw_templates.C...
=========================
 m_LQ = 1000.000000, use_LQ_denom = 1, draw_muons = 0, draw_electrons = 1 
=========================
init year 2016  
Setting up SF's 
TH1.Print Name  = emu16_cost_ratio, Entries= 22022, Total sum= 7.5015
Making mc template for sys  
Fixed up bin 1 4 1. Old asym val was -0.36, new is -0.23 

MC templates generated from 244464 events. Sym integral is 3651.6 
 
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 5, converted_index = 13, pure_content= 0.000000041579
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 6, converted_index = 14, pure_content= 0.000000041502
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 7, converted_index = 15, pure_content= 0.000000035545
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 8, converted_index = 16, pure_content= 0.000000026910
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 1, converted_index = 17, pure_content= 0.000000015959
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 2, converted_index = 18, pure_content= 0.000000302349
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 3, converted_index = 19, pure_content= -0.000159599833
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 4, converted_index = 20, pure_content= 0.000000033345
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 5, converted_index = 21, pure_content= 0.000000033345
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 6, converted_index = 22, pure_content= -0.000159599833
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 7, converted_index = 23, pure_content= 0.000000302349
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 8, converted_index = 24, pure_content= 0.000000015959
i_lqm_bin = 1, i_rap_bin = 4, i_cost_bin = 1, converted_index = 25, pure_content= 0.000000000416
i_lqm_bin = 1, i_rap_bin = 4, i_cost_bin = 2, converted_index = 26, pure_content= 0.000000011026
i_lqm_bin = 1, i_rap_bin = 4, i_cost_bin = 3, converted_index = 27, pure_content= 0.000001746131
i_lqm_bin = 1, i_rap_bin = 4, i_cost_bin = 4, converted_index = 28, pure_content= 0.000000032551
i_lqm_bin = 1, i_rap_bin = 4, i_cost_bin = 5, converted_index = 29, pure_content= 0.000000032551
i_lqm_bin = 1, i_rap_bin = 4, i_cost_bin = 6, converted_index = 30, pure_content= 0.000001746131
i_lqm_bin = 1, i_rap_bin = 4, i_cost_bin = 7, converted_index = 31, pure_content= 0.000000011026
i_lqm_bin = 1, i_rap_bin = 4, i_cost_bin = 8, converted_index = 32, pure_content= 0.000000000416
i_lqm_bin = 2, i_rap_bin = 1, i_cost_bin = 1, converted_index = 33, pure_content= 0.000000129409
i_lqm_bin = 2, i_rap_bin = 1, i_cost_bin = 2, converted_index = 34, pure_content= 0.000000508646
i_lqm_bin = 2, i_rap_bin = 1, i_cost_bin = 3, converted_index = 35, pure_content= 0.000000173329
i_lqm_bin = 2, i_rap_bin = 1, i_cost_bin = 4, converted_index = 36, pure_content= 0.000000177716
i_lqm_bin = 2, i_rap_bin = 1, i_cost_bin = 5, converted_index = 37, pure_content= 0.000000177716
i_lqm_bin = 2, i_rap_bin = 1, i_cost_bin = 6, converted_index = 38, pure_content= 0.000000173329
i_lqm_bin = 2, i_rap_bin = 1, i_cost_bin = 7, converted_index = 39, pure_content= 0.000000508646
i_lqm_bin = 2, i_rap_bin = 1, i_cost_bin = 8, converted_index = 40, pure_content= 0.000000129409
i_lqm_bin = 2, i_rap_bin = 2, i_cost_bin = 1, converted_index = 41, pure_content= 0.000000492160
i_lqm_bin = 2, i_rap_bin = 2, i_cost_bin = 2, converted_index = 42, pure_content= 0.000000260685
i_lqm_bin = 2, i_rap_bin = 2, i_cost_bin = 3, converted_index = 43, pure_content= 0.000000468995
i_lqm_bin = 2, i_rap_bin = 2, i_cost_bin = 4, converted_index = 44, pure_content= 0.000000110355
i_lqm_bin = 2, i_rap_bin = 2, i_cost_bin = 5, converted_index = 45, pure_content= 0.000000110355
i_lqm_bin = 2, i_rap_bin = 2, i_cost_bin = 6, converted_index = 46, pure_content= 0.000000468995
i_lqm_bin = 2, i_rap_bin = 2, i_cost_bin = 7, converted_index = 47, pure_content= 0.000000260685
i_lqm_bin = 2, i_rap_bin = 2, i_cost_bin = 8, converted_index = 48, pure_content= 0.000000492160
i_lqm_bin = 2, i_rap_bin = 3, i_cost_bin = 1, converted_index = 49, pure_content= 0.000000410580
i_lqm_bin = 2, i_rap_bin = 3, i_cost_bin = 2, converted_index = 50, pure_content= 0.000000108274
i_lqm_bin = 2, i_rap_bin = 3, i_cost_bin = 3, converted_index = 51, pure_content= 0.000000606532
i_lqm_bin = 2, i_rap_bin = 3, i_cost_bin = 4, converted_index = 52, pure_content= -0.000000313915
i_lqm_bin = 2, i_rap_bin = 3, i_cost_bin = 5, converted_index = 53, pure_content= -0.000000313915
i_lqm_bin = 2, i_rap_bin = 3, i_cost_bin = 6, converted_index = 54, pure_content= 0.000000606532
i_lqm_bin = 2, i_rap_bin = 3, i_cost_bin = 7, converted_index = 55, pure_content= 0.000000108274
i_lqm_bin = 2, i_rap_bin = 3, i_cost_bin = 8, converted_index = 56, pure_content= 0.000000410580
i_lqm_bin = 2, i_rap_bin = 4, i_cost_bin = 1, converted_index = 57, pure_content= 0.000000000273
i_lqm_bin = 2, i_rap_bin = 4, i_cost_bin = 2, converted_index = 58, pure_content= 0.000000022683
i_lqm_bin = 2, i_rap_bin = 4, i_cost_bin = 3, converted_index = 59, pure_content= 0.000000055645
i_lqm_bin = 2, i_rap_bin = 4, i_cost_bin = 4, converted_index = 60, pure_content= 0.000000050939
i_lqm_bin = 2, i_rap_bin = 4, i_cost_bin = 5, converted_index = 61, pure_content= 0.000000050939
i_lqm_bin = 2, i_rap_bin = 4, i_cost_bin = 6, converted_index = 62, pure_content= 0.000000055645
i_lqm_bin = 2, i_rap_bin = 4, i_cost_bin = 7, converted_index = 63, pure_content= 0.000000022683
i_lqm_bin = 2, i_rap_bin = 4, i_cost_bin = 8, converted_index = 64, pure_content= 0.000000000273
i_lqm_bin = 3, i_rap_bin = 1, i_cost_bin = 1, converted_index = 65, pure_content= 0.000000805731
i_lqm_bin = 3, i_rap_bin = 1, i_cost_bin = 2, converted_index = 66, pure_content= 0.000001365948
i_lqm_bin = 3, i_rap_bin = 1, i_cost_bin = 3, converted_index = 67, pure_content= 0.000001481154
i_lqm_bin = 3, i_rap_bin = 1, i_cost_bin = 4, converted_index = 68, pure_content= 0.000001547835
i_lqm_bin = 3, i_rap_bin = 1, i_cost_bin = 5, converted_index = 69, pure_content= 0.000001547835
i_lqm_bin = 3, i_rap_bin = 1, i_cost_bin = 6, converted_index = 70, pure_content= 0.000001481154
i_lqm_bin = 3, i_rap_bin = 1, i_cost_bin = 7, converted_index = 71, pure_content= 0.000001365948
i_lqm_bin = 3, i_rap_bin = 1, i_cost_bin = 8, converted_index = 72, pure_content= 0.000000805731
i_lqm_bin = 3, i_rap_bin = 2, i_cost_bin = 1, converted_index = 73, pure_content= 0.000000443613
i_lqm_bin = 3, i_rap_bin = 2, i_cost_bin = 2, converted_index = 74, pure_content= 0.000000506057
i_lqm_bin = 3, i_rap_bin = 2, i_cost_bin = 3, converted_index = 75, pure_content= 0.000000725944
i_lqm_bin = 3, i_rap_bin = 2, i_cost_bin = 4, converted_index = 76, pure_content= 0.000000798756
i_lqm_bin = 3, i_rap_bin = 2, i_cost_bin = 5, converted_index = 77, pure_content= 0.000000798756
i_lqm_bin = 3, i_rap_bin = 2, i_cost_bin = 6, converted_index = 78, pure_content= 0.000000725944
i_lqm_bin = 3, i_rap_bin = 2, i_cost_bin = 7, converted_index = 79, pure_content= 0.000000506057
i_lqm_bin = 3, i_rap_bin = 2, i_cost_bin = 8, converted_index = 80, pure_content= 0.000000443613
i_lqm_bin = 3, i_rap_bin = 3, i_cost_bin = 1, converted_index = 81, pure_content= 0.000000095121
i_lqm_bin = 3, i_rap_bin = 3, i_cost_bin = 2, converted_index = 82, pure_content= 0.000000379691
i_lqm_bin = 3, i_rap_bin = 3, i_cost_bin = 3, converted_index = 83, pure_content= 0.000000312162
i_lqm_bin = 3, i_rap_bin = 3, i_cost_bin = 4, converted_index = 84, pure_content= 0.000000763652
i_lqm_bin = 3, i_rap_bin = 3, i_cost_bin = 5, converted_index = 85, pure_content= 0.000000763652
i_lqm_bin = 3, i_rap_bin = 3, i_cost_bin = 6, converted_index = 86, pure_content= 0.000000312162
i_lqm_bin = 3, i_rap_bin = 3, i_cost_bin = 7, converted_index = 87, pure_content= 0.000000379691
i_lqm_bin = 3, i_rap_bin = 3, i_cost_bin = 8, converted_index = 88, pure_content= 0.000000095121
i_lqm_bin = 3, i_rap_bin = 4, i_cost_bin = 1, converted_index = 89, pure_content= -0.000000000310
i_lqm_bin = 3, i_rap_bin = 4, i_cost_bin = 2, converted_index = 90, pure_content= 0.000000029095
i_lqm_bin = 3, i_rap_bin = 4, i_cost_bin = 3, converted_index = 91, pure_content= 0.000000059864
i_lqm_bin = 3, i_rap_bin = 4, i_cost_bin = 4, converted_index = 92, pure_content= 0.000000053927
i_lqm_bin = 3, i_rap_bin = 4, i_cost_bin = 5, converted_index = 93, pure_content= 0.000000053927
i_lqm_bin = 3, i_rap_bin = 4, i_cost_bin = 6, converted_index = 94, pure_content= 0.000000059864
i_lqm_bin = 3, i_rap_bin = 4, i_cost_bin = 7, converted_index = 95, pure_content= 0.000000029095
